999240446824388_1565687210179706,video,,Thánh Troll,https://www.facebook.com/gocrelax69/videos/952211951602992/,2017-12-08 22:03:25,3,0,0
999240446824388_1563712360377191,link,,"Lao động công nghiệp chế biến, chế tạo Việt Nam dễ mất việc nhất vì 4.0",http://cafebiz.vn/lao-dong-cong-nghiep-che-bien-che-tao-viet-nam-de-mat-viec-nhat-vi-40-20171206190654347.chn,2017-12-06 22:57:28,0,0,0
999240446824388_1485490944866000,link,,Thế Giới Di Động (thegioididong.com),https://www.thegioididong.com/tin-tuc/day-la-gia-ban-chinh-thuc-cua-bo-doi-iphone-8-va-iphone-8-plus-1021095?utm_source=facebook&utm_medium=social,2017-09-13 09:31:32,3,1,0
999240446824388_1478613115553783,link,,"Thêm nguồn tin xác nhận giá bán iPhone 7s, 7s Plus, iPhone 8",https://www.thegioididong.com/tin-tuc/them-nguon-tin-xac-nhan-gia-ban-iphone-7s-7s-plus-va-iphone-8-1019048?utm_source=facebook&utm_medium=social,2017-09-04 21:56:25,6,0,0
999240446824388_1461585830589845,video,,Mặt nạ khỉ,https://www.facebook.com/1876447035950362/videos/1883204311941301/,2017-08-15 13:51:37,3,1,0
999240446824388_1458394837575611,link,,Trường đại học bất ngờ vì nhiều thí sinh không đến nhập học,http://vietnamnet.vn/vn/giao-duc/tuyen-sinh/truong-dai-hoc-bat-ngo-vi-nhieu-thi-sinh-khong-den-nhap-hoc-389768.html,2017-08-11 23:44:18,2,1,1
999240446824388_1455226657892429,link,,Chính Trị Việt Nam,http://quochoi.org/vu-trinh-xuan-thanh-dung-toi-dau-cung-gap-su-doi-pho-quyet-liet.html,2017-08-08 07:17:57,1,0,0
999240446824388_1454790111269417,link,,Chính Trị Việt Nam,http://trandaiquang.org/viet-nam-che-tao-robot-chien-dau-sanh-ngang-nga.html,2017-08-07 20:40:56,1,0,0
999240446824388_1454772651271163,photo,,Apple store,https://www.facebook.com/didongthongminh.apple/photos/a.1374282989351224.1073741828.1374208859358637/1375851225861067/?type=3,2017-08-07 20:14:31,0,0,0
999240446824388_1453257771422651,photo,,,https://www.facebook.com/baotintucnhanh/photos/a.1453257768089318.1073741829.999240446824388/1453257718089323/?type=3,2017-08-06 04:57:27,3,0,0
999240446824388_1453254401422988,link,,Robbey,http://kenhthethao.vn/neymar-quyet-chi-ra-di-sau-khoanh-khac-ky-dieu-cua-barcelona.html,2017-08-06 04:51:05,1,0,0
999240446824388_1433254170089678,link,,Gửi bài viết nhận nhuận bút từ Google cách gửi bài kiếm tiền,https://ntgsite.com/events/cach-gui-bai-viet-va-nhan-tien-nhuan-tu-goolge,2017-07-15 21:18:24,1,0,3
999240446824388_1433253803423048,link,,Tặng 3000 khách hàng khi thiết kế web tại NTG Media,https://ntgsite.com/tang-3000-khach-hang-khi-thiet-ke-web-tai-ntg-media.html,2017-07-15 21:18:03,0,0,0
999240446824388_1433171330097962,link,,Góc Thư Giãn,https://xem.vn/video/bi-nhan-vien-hang-may-bay-up-sot-hot-girl-bella-keu-ca-the-gioi-ra-doi-lai-cong-bang-051823.html?utm_source=Vungdk&utm_medium=Xem&utm_campaign=GTG,2017-07-15 19:58:48,3,0,0
